"Date","Time","Open","High","Low","Close","Total Ticks"
10/01/2017,18:30:00,88.09,88.232,88.09,88.217,87
10/01/2017,18:45:00,88.217,88.251,88.194,88.209,77
10/01/2017,19:00:00,88.209,88.261,88.153,88.205,105
10/01/2017,19:15:00,88.205,88.252,88.172,88.248,88
10/01/2017,19:30:00,88.248,88.252,88.216,88.241,47
10/01/2017,19:45:00,88.241,88.33,88.225,88.291,40
10/01/2017,20:00:00,88.291,88.301,88.266,88.274,22
10/01/2017,20:15:00,88.274,88.303,88.243,88.284,40
10/01/2017,20:30:00,88.284,88.284,88.231,88.232,38
10/01/2017,20:45:00,88.232,88.251,88.165,88.242,64
10/01/2017,21:00:00,88.242,88.242,88.082,88.13,342
10/01/2017,21:15:00,88.13,88.136,88.101,88.129,141
10/01/2017,21:30:00,88.129,88.153,88.095,88.113,226
10/01/2017,21:45:00,88.113,88.167,88.101,88.13,235
10/01/2017,22:00:00,88.13,88.312,88.125,88.293,1703
10/01/2017,22:15:00,88.293,88.344,88.288,88.343,1253
10/01/2017,22:30:00,88.343,88.347,88.305,88.326,980
10/01/2017,22:45:00,88.326,88.382,88.323,88.346,1032
10/01/2017,23:00:00,88.346,88.382,88.333,88.358,1055
10/01/2017,23:15:00,88.358,88.378,88.326,88.335,1133
10/01/2017,23:30:00,88.335,88.376,88.321,88.334,1000
10/01/2017,23:45:00,88.334,88.366,88.314,88.335,2077
10/02/2017,00:00:00,88.335,88.368,88.251,88.28,2720
10/02/2017,00:15:00,88.28,88.355,88.279,88.341,1878
10/02/2017,00:30:00,88.341,88.383,88.327,88.362,2085
10/02/2017,00:45:00,88.362,88.457,88.342,88.439,2774
10/02/2017,01:00:00,88.439,88.479,88.365,88.393,2620
10/02/2017,01:15:00,88.393,88.415,88.356,88.397,2185
10/02/2017,01:30:00,88.397,88.432,88.371,88.396,1379
10/02/2017,01:45:00,88.396,88.409,88.27,88.321,1973
10/02/2017,02:00:00,88.321,88.324,88.244,88.264,1629
10/02/2017,02:15:00,88.264,88.287,88.187,88.214,2318
10/02/2017,02:30:00,88.214,88.276,88.206,88.265,1093
10/02/2017,02:45:00,88.265,88.274,88.208,88.219,1711
10/02/2017,03:00:00,88.219,88.265,88.219,88.239,1048
10/02/2017,03:15:00,88.239,88.253,88.2,88.2,1110
10/02/2017,03:30:00,88.2,88.26,88.2,88.233,1084
10/02/2017,03:45:00,88.233,88.272,88.226,88.269,1272
10/02/2017,04:00:00,88.269,88.298,88.251,88.286,1436
10/02/2017,04:15:00,88.286,88.309,88.275,88.3,1160
10/02/2017,04:30:00,88.3,88.318,88.283,88.311,1264
10/02/2017,04:45:00,88.311,88.324,88.291,88.305,1115
10/02/2017,05:00:00,88.305,88.347,88.302,88.303,1148
10/02/2017,05:15:00,88.303,88.317,88.232,88.261,2694
10/02/2017,05:30:00,88.261,88.267,88.226,88.235,1575
10/02/2017,05:45:00,88.235,88.284,88.235,88.254,1835
10/02/2017,06:00:00,88.254,88.292,88.239,88.274,4637
10/02/2017,06:15:00,88.274,88.29,88.24,88.282,3830
10/02/2017,06:30:00,88.282,88.282,88.189,88.197,3831
10/02/2017,06:45:00,88.197,88.278,88.193,88.271,2597
10/02/2017,07:00:00,88.271,88.294,88.204,88.221,4155
10/02/2017,07:15:00,88.221,88.245,88.175,88.177,3746
10/02/2017,07:30:00,88.177,88.213,88.118,88.144,5169
10/02/2017,07:45:00,88.144,88.179,88.086,88.132,3779
10/02/2017,08:00:00,88.132,88.16,88.109,88.142,2931
10/02/2017,08:15:00,88.142,88.16,88.087,88.12,2978
10/02/2017,08:30:00,88.12,88.15,88.06,88.081,3515
10/02/2017,08:45:00,88.081,88.116,88.06,88.079,3232
10/02/2017,09:00:00,88.079,88.172,88.056,88.141,3120
10/02/2017,09:15:00,88.141,88.156,88.105,88.112,2493
10/02/2017,09:30:00,88.112,88.13,88.077,88.083,2220
10/02/2017,09:45:00,88.083,88.086,88.048,88.05,2014
10/02/2017,10:00:00,88.05,88.082,88.03,88.048,2806
10/02/2017,10:15:00,88.048,88.096,88.029,88.091,2861
10/02/2017,10:30:00,88.091,88.147,88.071,88.147,2626
10/02/2017,10:45:00,88.147,88.169,88.133,88.149,1691
10/02/2017,11:00:00,88.149,88.168,88.115,88.14,2064
10/02/2017,11:15:00,88.14,88.179,88.134,88.173,2534
10/02/2017,11:30:00,88.173,88.199,88.162,88.181,1568
10/02/2017,11:45:00,88.181,88.21,88.145,88.148,2869
10/02/2017,12:00:00,88.148,88.174,88.103,88.114,3212
10/02/2017,12:15:00,88.114,88.134,88.08,88.118,5282
10/02/2017,12:30:00,88.118,88.143,88.085,88.098,4192
10/02/2017,12:45:00,88.098,88.138,88.076,88.096,4656
10/02/2017,13:00:00,88.096,88.097,88.057,88.073,3037
10/02/2017,13:15:00,88.073,88.091,88.062,88.078,2515
10/02/2017,13:30:00,88.078,88.137,88.069,88.128,6087
10/02/2017,13:45:00,88.128,88.187,88.105,88.174,4150
10/02/2017,14:00:00,88.174,88.302,88.119,88.246,13492
10/02/2017,14:15:00,88.246,88.265,88.185,88.209,7160
10/02/2017,14:30:00,88.209,88.24,88.186,88.196,4789
10/02/2017,14:45:00,88.196,88.233,88.178,88.184,5683
10/02/2017,15:00:00,88.184,88.214,88.151,88.154,5314
10/02/2017,15:15:00,88.154,88.186,88.143,88.167,3200
10/02/2017,15:30:00,88.167,88.191,88.135,88.14,2880
10/02/2017,15:45:00,88.14,88.161,88.095,88.095,2931
10/02/2017,16:00:00,88.095,88.119,88.076,88.098,2918
10/02/2017,16:15:00,88.098,88.142,88.092,88.122,1932
10/02/2017,16:30:00,88.122,88.162,88.12,88.158,1892
10/02/2017,16:45:00,88.158,88.224,88.153,88.22,2448
10/02/2017,17:00:00,88.22,88.221,88.189,88.213,1813
10/02/2017,17:15:00,88.213,88.244,88.213,88.232,1879
10/02/2017,17:30:00,88.232,88.232,88.178,88.185,1599
10/02/2017,17:45:00,88.185,88.235,88.185,88.213,1529
10/02/2017,18:00:00,88.213,88.254,88.192,88.235,1707
10/02/2017,18:15:00,88.235,88.235,88.189,88.213,1772
10/02/2017,18:30:00,88.213,88.233,88.201,88.217,1649
10/02/2017,18:45:00,88.217,88.244,88.202,88.243,2321
10/02/2017,19:00:00,88.243,88.267,88.229,88.242,1373
10/02/2017,19:15:00,88.242,88.254,88.189,88.223,2346
10/02/2017,19:30:00,88.223,88.251,88.216,88.234,1289
10/02/2017,19:45:00,88.234,88.244,88.22,88.236,1973
10/02/2017,20:00:00,88.236,88.245,88.21,88.218,1041
10/02/2017,20:15:00,88.218,88.231,88.208,88.221,527
10/02/2017,20:30:00,88.221,88.229,88.202,88.21,760
