symbol,timestamp,bid_figure,bid_points,offer_figure,offer_points,high,low,open
AUD/JPY,1512341154161,85.,602,85.,625,85.516,85.681,85.623
AUD/JPY,1512341154161,85.,602,85.,625,85.516,85.681,85.623
AUD/JPY,1512341176947,85.,602,85.,618,85.516,85.681,85.623
AUD/JPY,1512341176947,85.,602,85.,618,85.516,85.681,85.623
AUD/JPY,1512341296672,85.,606,85.,630,85.516,85.681,85.623
AUD/JPY,1512381781306,85.,804,85.,811,85.516,85.898,85.623
AUD/JPY,1512381782803,85.,801,85.,808,85.516,85.898,85.623
AUD/JPY,1512381838622,85.,795,85.,803,85.516,85.898,85.623
AUD/JPY,1512381838622,85.,795,85.,803,85.516,85.898,85.623
AUD/JPY,1512381901060,85.,802,85.,809,85.516,85.898,85.623
AUD/JPY,1512381901060,85.,802,85.,809,85.516,85.898,85.623
AUD/JPY,1512381955291,85.,813,85.,821,85.516,85.898,85.623
AUD/JPY,1512381955291,85.,813,85.,821,85.516,85.898,85.623
AUD/JPY,1512382198102,85.,805,85.,812,85.516,85.898,85.623
AUD/JPY,1512382201061,85.,804,85.,809,85.516,85.898,85.623
AUD/JPY,1512382201061,85.,804,85.,809,85.516,85.898,85.623
AUD/JPY,1512382800197,85.,846,85.,853,85.516,85.898,85.623
AUD/JPY,1512382800197,85.,846,85.,853,85.516,85.898,85.623
AUD/JPY,1512382800197,85.,846,85.,853,85.516,85.898,85.623
AUD/JPY,1512383399575,85.,856,85.,865,85.516,85.898,85.623
AUD/JPY,1512383399575,85.,856,85.,865,85.516,85.898,85.623
AUD/JPY,1512383399575,85.,856,85.,865,85.516,85.898,85.623
AUD/JPY,1512384000446,85.,834,85.,842,85.516,85.898,85.623
AUD/JPY,1512384000446,85.,834,85.,842,85.516,85.898,85.623
AUD/JPY,1512384000446,85.,834,85.,842,85.516,85.898,85.623
AUD/JPY,1512384598671,85.,858,85.,865,85.516,85.898,85.623
AUD/JPY,1512384600860,85.,855,85.,862,85.516,85.898,85.623
AUD/JPY,1512385200270,85.,853,85.,862,85.516,85.898,85.623
AUD/JPY,1512385200270,85.,853,85.,862,85.516,85.898,85.623
AUD/JPY,1512385200270,85.,853,85.,862,85.516,85.898,85.623
AUD/JPY,1512385799999,85.,843,85.,850,85.516,85.898,85.623
AUD/JPY,1512386399754,85.,820,85.,827,85.516,85.898,85.623
AUD/JPY,1512386399754,85.,820,85.,827,85.516,85.898,85.623
AUD/JPY,1512386999812,85.,865,85.,874,85.516,85.898,85.623
AUD/JPY,1512386999812,85.,865,85.,874,85.516,85.898,85.623
AUD/JPY,1512386999812,85.,865,85.,874,85.516,85.898,85.623
AUD/JPY,1512387592376,85.,864,85.,871,85.516,85.898,85.623
AUD/JPY,1512387592376,85.,864,85.,871,85.516,85.898,85.623
